TaxNumCl_2023,Taxonomy,Common_Name,AlphaCode,Scientific_Name,NFA_new,NFA_min,NFA_max,NFA_Score,NFA_Uncertainty_pct,DFA_new,DFA_min,DFA_max,DFA_Score,DFA_Uncertainty_pct,FA_N&D,FA24,FA24_min,FA24_max,FA,FA_litSourceNo,FA_litSourceNo_rescaled,FA_valueRangeDif,FA_actVSsimSpp,uFA,uFA_old,FA_Reference,RSZt_new,RSZt_min,RSZt_max,RSZt_litSourceNo,RSZt_litSourceNo_rescaled,RSZt_valueRangeDif,RSZt_actVSsimSpp,uRSZt,RSZt_Score,RSZt_Uncertainty_pct,RSZt_Reference,MA_new,MA_min,MA_max,MA_litSourceNo,MA_litSourceNo_rescaled,MA_valueRangeDif,MA_actVSsimSpp,uMA,MA_Collision_Score,MA_Uncertainty_pct,MA_Reference,CV_new,uCV,CV_Best_Estimate_old,uCV_old
296,Sea Ducks,Brant,BRAN,Branta bernicla,0.750,0.750,NA,1,0.500,0.750,0.750,NA,1,0.500,0.750,0.620,0.490,0.640,0.685,3,0.500,0.150,0.500,0.383,0.500,"Drew et al. 2005, Lewis et al. 2020; similar spp: geese: Weiser et al. 2024",0.310,0.180,0.420,2,0.667,0.240,0.500,0.469,5,0.25,"Robinson Willmott et al. 2013, Weiser et al. 2024",0.680,0.680,NA,1,0.833,0.000,0.250,0.361,1,25.000,Krijgsveld et al. 2011,0.06795,0.065,7.000,3.125
720,Sea Ducks,Common Merganser,COME,Mergus merganser,0.001,NA,NA,1,0.250,0.188,0.190,NA,1,0.250,0.095,NA,NA,NA,0.095,2,0.667,0.000,0.250,0.306,0.250,"Pearce et al. 2020, Drew et al. 2005",0.273,0.020,0.347,3,0.500,0.327,0.500,0.442,5,0.50,"similar spp: COEI: Bradbury et al. 2014, Johnston et al. 2014, Thaxter et al. 2015",0.735,0.710,0.758,2,0.667,0.048,0.750,0.488,2,0.500,"similar spp: seaducks: Cook et al. 2012, Krijgsveld et al. 2011",0.00685,0.066,8.000,0.063
728,Sea Ducks,Red-breasted Merganser,RBME,Mergus serrator,0.001,NA,NA,1,0.100,0.214,0.210,NA,1,0.100,0.107,NA,NA,NA,0.107,2,0.667,0.000,0.250,0.306,0.100,"Craik et al. 2020, Drew et al. 2005",0.273,0.020,0.347,3,0.500,0.327,0.500,0.442,5,0.50,"similar spp: COEI: Bradbury et al. 2014, Johnston et al. 2014, Thaxter et al. 2015",0.735,0.710,0.758,2,0.667,0.048,0.750,0.488,2,0.500,"similar spp: seaducks: Cook et al. 2012, Krijgsveld et al. 2011",0.00777,0.066,8.000,0.025
687,Sea Ducks,Harlequin Duck,HADU,Histrionicus histrionicus,0.001,NA,NA,5,0.500,0.128,0.130,NA,5,0.500,0.064,NA,NA,NA,0.064,2,0.667,0.000,0.250,0.306,0.500,"Drew et al. 2005, Robertson and Goudie 2020",0.273,0.020,0.347,3,0.500,0.327,0.500,0.442,5,0.50,"similar spp: COEI: Bradbury et al. 2014, Johnston et al. 2014, Thaxter et al. 2015",0.735,0.710,0.758,2,0.667,0.048,0.750,0.488,1,0.250,"similar spp: seaducks: Cook et al. 2012, Krijgsveld et al. 2011",0.00465,0.066,7.000,0.063
688,Sea Ducks,Surf Scoter,SUSC,Melanitta perspicillata,0.065,NA,NA,3,0.250,0.065,0.030,0.100,3,0.500,0.065,NA,NA,NA,0.065,4,0.333,0.070,0.250,0.218,0.375,"Adams et al. 2016, Anderson et al. 2020, Drew et al. 2005, Takekawa et al. 2017",0.030,0.010,0.160,5,0.167,0.150,0.500,0.272,3,0.50,"similar spp: COSC: Bradbury et al. 2014, Cook et al. 2012, Johnston et al. 2014, Thaxter et al. 2015; COSC/VESC: Furness et al. 2013",0.900,0.900,NA,1,0.833,0.000,0.500,0.444,1,0.250,similar spp: COSC: Bradbury et al. 2014,0.00019,0.026,7.000,0.047
690,Sea Ducks,White-winged Scoter,WWSC,Melanitta deglandi,0.100,NA,NA,3,0.000,0.100,0.100,NA,3,0.250,0.100,NA,NA,NA,0.100,4,0.333,0.000,0.250,0.194,0.125,"Adams et al. 2016, Brown and Fredrickson 2020, Drew et al. 2005, Takekawa et al. 2017",0.030,0.010,0.160,5,0.167,0.150,0.500,0.272,3,0.50,"similar spp: COSC: Bradbury et al. 2014, Cook et al. 2012, Johnston et al. 2014, Thaxter et al. 2015; COSC/VESC: Furness et al. 2013",0.900,0.900,NA,1,0.833,0.000,0.500,0.444,1,0.250,similar spp: COSC: Bradbury et al. 2014,0.00030,0.024,7.000,0.016
696,Sea Ducks,Black Scoter,BLSC,Melanitta americana,0.090,NA,NA,3,0.500,0.090,0.090,NA,3,0.500,0.090,NA,NA,NA,0.090,3,0.500,0.000,0.250,0.250,0.500,"Adams et al. 2016, Drew et al. 2005, Takekawa et al. 2017",0.030,0.010,0.160,5,0.167,0.150,0.500,0.272,3,0.50,"similar spp: COSC: Bradbury et al. 2014, Cook et al. 2012, Johnston et al. 2014, Thaxter et al. 2015; COSC/VESC: Furness et al. 2013",0.900,0.900,NA,1,0.833,0.000,0.500,0.444,1,0.250,similar spp: COSC: Bradbury et al. 2014,0.00027,0.030,7.000,0.063
700,Sea Ducks,Long-tailed Duck,LTDU,Clangula hyemalis,0.001,NA,NA,4,0.500,0.161,0.160,NA,3,0.250,0.081,NA,NA,NA,0.081,2,0.667,0.000,0.250,0.306,0.375,"Drew et al. 2005, Robertson and Savard 2020",0.273,0.020,0.347,3,0.500,0.327,0.500,0.442,5,0.50,"similar spp: COEI: Bradbury et al. 2014, Johnston et al. 2014, Thaxter et al. 2015",0.735,0.710,0.758,2,0.667,0.048,0.750,0.488,1,0.250,"similar spp: seaducks: Cook et al. 2012, Krijgsveld et al. 2011",0.00588,0.066,5.670,0.047
6768,Loons,Red-throated Loon,RTLO,Gavia stellata,0.001,0.000,NA,1,0.250,0.360,0.360,NA,2,0.250,0.181,NA,NA,NA,0.181,5,0.167,0.000,0.500,0.222,0.250,"Adams et al. 2016, Drew et al. 2005, Heinanen et al. 2020, Takekawa et al. 2017; similar spp: COLO: Paruk et al. 2008",0.061,0.050,0.130,5,0.167,0.080,0.250,0.166,3,0.50,"Bradbury et al. 2014, Borkenhagen et al. 2018, Furness et al. 2013, Johnston et al. 2014, Thaxter et al. 2015",0.810,0.810,NA,1,0.833,0.000,0.250,0.361,1,0.100,Vanermen et al. 2022,0.00208,0.013,5.330,0.013
6772,Loons,Pacific Loon,PALO,Gavia pacifica,0.001,0.000,NA,1,0.500,0.400,0.400,NA,3,0.500,0.201,NA,NA,NA,0.201,5,0.167,0.000,0.500,0.222,0.500,"Adams et al. 2016, Drew et al. 2005,  Takekawa et al. 2017;similar spp: COLO: Paruk et al. 2008; RTLO: Heinanen et al. 2020",0.061,0.050,0.130,5,0.167,0.080,0.500,0.249,3,0.50,"similar spp: RTLO: Bradbury et al. 2014, Cook et al. 2012, Furness et al. 2013, Johnston et al. 2014, Thaxter et al. 2015",0.810,0.600,0.940,5,0.167,0.340,0.500,0.336,1,0.100,"similar spp: divers: Cook et al. 2012, Garthe et al. 2023, Krijgsveld et al. 2011, Welcker and Nehls 2016; RTLO: Vanermen et al. 2022",0.00231,0.019,3.670,0.025
